time,ugeos,vgeos
2023-09-29 00:00:00.064801280,0.048370319101630234,-0.1581087918203863
2023-10-19 20:45:02.688161664,0.10394898805953927,-0.2842086601665992
2023-11-09 17:30:07.947731584,0.09948701240933942,-0.21196891535409632
2023-11-30 14:15:13.467621504,0.05126180546999108,-0.16247121761087174
2023-12-21 11:00:17.389079296,0.07179919075400024,-0.24801761477114592
2024-01-11 07:45:22.744390656,0.199532651684399,-0.26121395449996465
2024-02-01 04:30:29.085410560,-0.018174712597952225,-0.4994401993143078
2024-02-22 01:15:34.239416704,,
2024-03-13 22:00:36.596071424,,
2024-04-03 18:45:40.975686144,0.06412360607011319,-0.20110886888973162
2024-04-24 15:30:47.302453632,0.028498871954126436,-0.11986565211619601
2024-05-15 12:15:51.422893824,0.011794792629559936,-0.04215001020854832
2024-06-05 09:00:57.387046528,0.24462774567350118,-0.15277587181461255
2024-06-26 05:46:00.560829056,0.07117555276456439,-0.15191172923595206
2024-07-17 02:31:04.975942656,0.062382942454848475,-0.27207190617748966
2024-08-06 23:16:09.384066944,0.09677403749090405,-0.14946228527853012
2024-08-27 20:01:13.758543232,0.1614412331230799,-0.36450327565437407
2024-09-17 16:46:20.112696704,0.11214639906228734,-0.2354532306632365
