time_nadir,longitude_nadir,latitude_nadir,sla_nadir,cross_track_distance
2023-03-29 14:23:31.077070080,-53.714586999999995,50.955819999999996,0.139,0.0
2023-03-29 14:23:32.008782208,-53.689070000000015,50.904353,0.125,0.0
2023-03-29 14:23:33.250929792,-53.655148,50.835718,0.169,0.0
2023-03-29 14:23:34.182479744,-53.629782000000034,50.784233,0.188,0.0
2023-03-29 14:23:35.114193792,-53.604480000000024,50.732741,0.17900000000000002,0.0
2023-03-29 14:23:36.356759936,-53.570843000000025,50.664072,0.164,0.0
2023-03-29 14:23:37.288374912,-53.545690000000036,50.612562,0.17500000000000002,0.0
2023-03-29 14:23:38.530381696,-53.51225099999999,50.54387,0.183,0.0
2023-03-29 14:23:39.462188544,-53.48724500000003,50.492342,0.114,0.0
2023-03-29 14:23:40.704357376,-53.454002,50.423626,0.14100000000000001,0.0
2023-03-29 14:23:41.636074240,-53.42914200000001,50.372080999999994,0.133,0.0
2023-03-29 14:23:42.567604608,-53.404345000000035,50.320527999999996,0.158,0.0
2023-03-29 14:23:43.809973760,-53.37137799999999,50.25178,0.08900000000000001,0.0
2023-03-29 14:23:44.741330304,-53.34672499999999,50.20021,0.10500000000000001,0.0
2023-03-29 14:23:45.983638272,-53.313950000000034,50.131439,0.08900000000000001,0.0
2023-03-29 14:23:46.915004544,-53.28944000000001,50.079851999999995,0.084,0.0
2023-03-29 14:23:47.846792832,-53.26499100000001,50.028256999999996,0.108,0.0
2023-03-29 14:23:49.088842112,-53.232485999999994,49.959454,0.12100000000000001,0.0
2023-03-29 14:23:50.020216960,-53.20817800000003,49.907843,0.132,0.0
2023-03-29 14:23:51.262135808,-53.175861,49.839017,0.136,0.0
2023-03-29 14:23:52.193624320,-53.15169300000002,49.787389,0.12300000000000001,0.0
2023-03-29 14:23:53.436353664,-53.11956100000003,49.718540999999995,0.10500000000000001,0.0
2023-03-29 14:23:54.368056832,-53.09553199999999,49.666896,0.10300000000000001,0.0
2023-03-29 14:23:55.299275520,-53.07156200000003,49.615244999999994,0.171,0.0
2023-03-29 14:23:56.541180160,-53.039693,49.546366,0.185,0.0
2023-03-29 14:23:57.472844672,-53.015859000000034,49.494698,0.166,0.0
2023-03-29 14:23:58.715367168,-52.984172,49.425796999999996,0.18100000000000002,0.0
2023-03-29 14:23:59.646465408,-52.96047400000003,49.374113,0.132,0.0
2023-03-29 14:24:00.888359168,-52.928967,49.305189999999996,0.14700000000000002,0.0
2023-03-29 14:24:01.819963776,-52.90540400000003,49.25349,0.185,0.0
2023-03-29 14:24:02.751531136,-52.881898000000035,49.201783,0.197,0.0
2023-03-29 14:24:03.993351808,-52.85064600000004,49.13283,0.202,0.0
2023-03-29 14:24:04.924851328,-52.82727299999999,49.081106999999996,0.169,0.0
2023-03-29 14:24:06.167043584,-52.79619700000001,49.012133,0.195,0.0
2023-03-31 14:04:45.870766976,-53.687423000000024,50.961194,0.10600000000000001,-2.0
2023-03-31 14:04:46.802392448,-53.66193300000003,50.90972,0.132,-2.0
2023-03-31 14:04:48.044608768,-53.628044999999986,50.841075,0.168,-2.0
2023-03-31 14:04:48.977481856,-53.602705000000014,50.789581999999996,0.21100000000000002,-2.0
2023-03-31 14:04:49.909917184,-53.577428999999995,50.738082,0.216,-2.0
2023-03-31 14:04:51.152063360,-53.54382700000002,50.669402999999996,0.21400000000000002,-2.0
2023-03-31 14:04:52.083631872,-53.518699000000026,50.617885,0.20600000000000002,-2.0
2023-03-31 14:04:53.326911616,-53.48529400000001,50.549183,0.184,-2.0
2023-03-31 14:04:54.258539776,-53.46031400000004,50.497648,0.192,-2.0
2023-03-31 14:04:55.500680320,-53.42710500000004,50.428922,0.195,-2.0
2023-03-31 14:04:56.432054144,-53.40227100000004,50.377368999999995,0.161,-2.0
2023-03-31 14:04:57.363535488,-53.377499,50.325809,0.191,-2.0
2023-03-31 14:04:58.605660032,-53.344565999999986,50.257051,0.197,-2.0
2023-03-31 14:04:59.537250816,-53.319938000000036,50.205473,0.164,-2.0
2023-03-31 14:05:00.779411968,-53.28719699999999,50.136692,0.157,-2.0
2023-03-31 14:05:01.710986624,-53.26271200000002,50.085097999999995,0.12200000000000001,-2.0
2023-03-31 14:05:02.953089536,-53.23016000000001,50.016293999999995,0.10500000000000001,-2.0
2023-03-31 14:05:03.884349056,-53.205817000000025,49.964683,0.14,-2.0
2023-03-31 14:05:04.815790848,-53.181534,49.913064,0.126,-2.0
2023-03-31 14:05:06.057880448,-53.149249999999995,49.844229,0.101,-2.0
2023-03-31 14:05:06.989433728,-53.125107000000014,49.792594,0.164,-2.0
2023-03-31 14:05:08.231912832,-53.093008,49.723735999999995,0.159,-2.0
2023-03-31 14:05:09.163458944,-53.06900400000001,49.672084,0.215,-2.0
2023-03-31 14:05:10.095025024,-53.04505800000004,49.620425999999995,0.277,-2.0
2023-03-31 14:05:11.337130752,-53.01322200000004,49.551536999999996,0.229,-2.0
2023-03-31 14:05:12.268696192,-52.98941300000001,49.499862,0.227,-2.0
2023-03-31 14:05:13.510754048,-52.95775900000001,49.430951,0.233,-2.0
2023-03-31 14:05:14.442275712,-52.93408500000004,49.379259999999995,0.17700000000000002,-2.0
2023-03-31 14:05:15.684726400,-52.902611000000036,49.310328,0.201,-2.0
2023-03-31 14:05:16.616265984,-52.87907200000001,49.25862,0.222,-2.0
2023-03-31 14:05:17.547789312,-52.85559000000001,49.206907,0.17500000000000002,-2.0
2023-03-31 14:05:18.791038976,-52.82436999999999,49.137944,0.202,-2.0
